price,size,timestamp
122.83,300,1607958205080
122.86,100,1607958199679
122.87,100,1607958197664
123.02,200,1607958065537
123.05,100,1607957640644
129.0,100,1607956207448
130.0,100,1607956306255
132.0,100,1607956207245
135.0,16000,1607956203126
148.0,200,1607956207344
122.81,400,1607958507119
123.02,300,1607958508066
122.99,100,1607959094274
122.91,100,1607959398819
122.92,100,1607959394651
122.93,100,1607959393105
122.94,100,1607959388270
122.96,100,1607959679771
122.97,100,1607959674945
122.87,100,1607960010353
122.88,100,1607960000268
122.89,100,1607959998643
122.54,300,1607960310921
122.55,100,1607960310922
122.59,100,1607960290679
122.62,100,1607960287352
122.65,100,1607960270827
122.73,100,1607960598209
122.65,300,1607960916095
122.66,100,1607960915437
122.8,100,1607961205473
122.81,300,1607961817419
122.83,100,1607961799211
122.75,300,1607962120293
122.76,100,1607962114529
122.77,100,1607962113394
122.96,100,1607962413885
123.13,482,1607962724540
123.15,100,1607962701821
123.02,100,1607963007084
123.03,100,1607963005733
123.01,400,1607963320076
123.02,100,1607963319475
123.04,100,1607963315024
122.77,100,1607963615057
122.79,100,1607963614956
122.83,200,1607963934356
122.85,100,1607963934355
122.86,100,1607963932521
122.87,100,1607963932296
122.76,200,1607964231951
122.77,100,1607964231350
122.78,100,1607964228300
122.85,300,1607964536547
122.87,100,1607964504967
122.95,100,1607964839987
122.93,300,1607965139727
122.81,100,1607965438161
122.82,100,1607965436927
122.77,100,1607965727693
122.78,100,1607965710778
122.96,100,1607965599640
122.9,300,1607966043276
122.91,100,1607966041320
122.93,100,1607966008071
122.85,100,1607966345371
122.87,100,1607966341587
122.89,100,1607966183789
122.83,300,1607966642093
122.88,100,1607966563112
122.93,100,1607966892045
122.95,100,1607967247170
122.88,100,1607967550982
122.62,300,1607968454121
122.63,100,1607968448514
122.64,100,1607968448125
122.67,100,1607968337795
122.39,100,1607968733103
122.44,100,1607968719449
122.45,100,1607968716720
122.54,100,1607968689212
122.48,100,1607969050564
122.22,200,1607969354290
122.23,100,1607969354231
122.37,100,1607970241026
122.23,200,1607970555268
122.24,300,1607970555584
122.25,100,1607970554051
122.27,100,1607970547653
122.35,100,1607971159606
122.36,300,1607971153683
122.37,100,1607971149540
