price,size,timestamp
122.81,100,1607958205081
122.8,100,1607958205070
122.28,100,1607956330982
119.0,100,1607956207282
118.0,100,1607956203123
117.0,100,1607956207357
116.0,400,1607956203122
115.0,100,1607956207330
110.5,200,1607956207368
110.0,200,1607956207277
108.0,100,1607956206943
106.0,100,1607956207209
85.46,100,1607956200948
78.0,100,1607956207181
75.31,200,1607956200948
52.99,600,1607956200948
122.79,400,1607958507119
122.78,100,1607958507118
122.73,100,1607958493819
122.85,100,1607958807933
122.84,300,1607958807512
122.83,100,1607958802252
122.82,100,1607958799767
122.96,200,1607959106478
122.95,100,1607959106478
122.94,100,1607959105392
122.94,100,1607959707022
122.92,200,1607959705995
122.9,100,1607959687689
122.86,200,1607960010435
122.84,100,1607960008176
122.83,200,1607960003777
122.7,100,1607960606105
122.69,400,1607960606102
122.66,100,1607960578772
122.4,100,1607960477200
122.64,100,1607960916115
122.62,100,1607960903853
122.61,100,1607960903799
122.59,100,1607960901902
122.76,100,1607961218793
122.75,100,1607961217988
123.04,200,1607961514566
122.69,100,1607961774919
122.88,100,1607962387612
123.12,200,1607962724540
123.09,100,1607962685412
122.99,100,1607963022467
122.98,100,1607963012242
122.72,100,1607963616548
122.8,100,1607963880264
122.75,100,1607963694750
122.69,100,1607964202841
122.83,100,1607964536115
122.94,300,1607964839994
122.93,100,1607964839986
122.92,100,1607964839944
122.91,100,1607964839942
122.9,100,1607964831798
122.91,100,1607965138669
122.9,100,1607965131745
122.87,100,1607965120991
122.73,100,1607965735248
122.89,100,1607966043276
122.85,100,1607965971774
122.84,100,1607966345371
122.83,100,1607966341588
122.82,100,1607966646599
122.81,100,1607966631125
122.8,200,1607966637421
122.88,100,1607966946437
122.93,100,1607967246044
122.9,100,1607967216591
122.85,100,1607967545996
122.84,100,1607967542534
122.71,100,1607967844640
122.69,100,1607967827094
122.66,100,1607968135057
122.65,100,1607968135058
122.61,200,1607968454808
122.6,300,1607968451711
122.21,100,1607969351277
122.16,100,1607969340753
122.35,100,1607969654620
122.33,100,1607969654324
122.3,100,1607969618744
122.34,100,1607969952715
122.33,100,1607969950795
122.32,100,1607969950793
122.34,100,1607970253616
122.33,100,1607970252040
122.22,200,1607970555593
122.44,300,1607970859601
122.34,100,1607970805758
122.32,100,1607970789344
122.33,100,1607971155447
