price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp
122.375,100,1263188276,False,False,False,False,False,1607971145036
122.35,100,1262284648,False,False,False,False,False,1607971126007
122.36,100,1262148993,True,False,False,False,False,1607971123742
122.38,95,1261698435,False,True,False,False,False,1607971112555
122.38,5,1261584740,False,True,False,False,False,1607971111534
122.38,3,1261441763,False,True,False,False,False,1607971108251
122.38,300,1261078417,False,False,False,False,False,1607971101482
122.375,100,1261043830,False,False,False,False,False,1607971100561
122.385,100,1260742724,False,False,False,False,False,1607971094495
122.38,1,1260097321,False,True,False,False,False,1607971082542
122.375,100,1258961765,False,False,False,False,False,1607971058511
122.375,5,1258211110,False,True,False,False,False,1607971042976
122.37,100,1257405216,True,False,False,False,False,1607971030122
122.37,15,1257405203,True,True,False,False,False,1607971030122
122.37,100,1257405053,True,False,False,False,False,1607971030121
122.365,100,1257169038,False,False,False,False,False,1607971027308
122.33,200,1257048983,True,False,False,False,False,1607971025953
122.33,300,1257048969,True,False,False,False,False,1607971025953
122.39,50,1256113499,False,True,False,False,False,1607971019032
122.39,300,1256078542,True,False,False,False,False,1607971018681
