price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp
122.75,235,660994829,True,False,False,False,False,1607962120544
122.77,2,660175676,False,True,False,False,False,1607962111018
122.78,100,660122203,False,False,False,False,False,1607962110259
122.81,100,659982851,False,False,False,False,False,1607962108849
122.81,280,659829182,False,False,False,False,False,1607962106834
122.81,20,659829153,False,True,False,False,False,1607962106834
122.82,239,658742796,False,False,False,False,False,1607962098070
122.82,100,658739112,False,False,False,False,False,1607962098015
122.82,100,658739106,False,False,False,False,False,1607962098015
122.835,100,658386429,False,False,False,False,False,1607962093641
122.82,300,658190334,False,False,False,False,False,1607962091704
122.83,205,658190281,False,False,False,False,False,1607962091702
122.815,48,658087020,False,True,False,False,False,1607962090817
122.81,58,658069364,False,True,False,False,False,1607962090632
122.805,100,658010277,False,False,False,False,False,1607962089909
122.79,100,657846257,False,False,False,False,False,1607962088039
122.8,300,657821039,True,False,False,False,False,1607962087768
122.81,300,657012697,True,False,False,False,True,1607962083895
122.84,100,656723488,False,False,False,False,False,1607962081465
122.83,300,656662043,True,False,False,False,False,1607962080752
