price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp
122.755,100,830316622,False,False,False,False,False,1607964233420
122.75,3,829675434,False,True,False,False,False,1607964225625
122.735,100,828507640,False,False,False,False,False,1607964208572
122.72,100,828222107,True,False,False,False,False,1607964204542
122.71,100,827486340,False,False,False,False,False,1607964196884
122.715,100,827245703,False,False,False,False,False,1607964195238
122.705,100,826855579,False,False,False,False,False,1607964190844
122.705,100,826855571,False,False,False,False,False,1607964190844
122.755,100,825985938,False,False,False,False,False,1607964179611
122.72,9,825535681,True,True,False,False,False,1607964174825
122.71,100,825532184,False,False,False,False,False,1607964174785
122.725,100,824777973,False,False,False,False,False,1607964164627
122.76,100,823012265,False,False,False,False,False,1607964140411
122.79,100,821558800,False,False,False,False,False,1607964122259
122.76,237,820330362,True,False,False,False,False,1607964103180
122.77,107,820160786,False,False,False,False,False,1607964100624
122.76,1,819778293,False,True,False,False,False,1607964094833
122.73,33,818821080,False,True,False,False,False,1607964081238
122.745,64,818458069,False,True,False,False,False,1607964076124
122.745,32,818419735,False,True,False,False,False,1607964075416
