price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp
122.685,62,1082050671,False,True,False,False,False,1607968147050
122.675,38,1081967245,False,True,False,False,False,1607968145638
122.675,400,1081957563,False,False,False,False,False,1607968145415
122.68,100,1081730494,True,False,False,False,False,1607968141172
122.675,200,1081349143,False,False,False,False,False,1607968135134
122.655,100,1081228491,False,False,False,False,False,1607968132935
122.655,100,1081228411,False,False,False,False,False,1607968132934
122.655,500,1081213005,False,False,False,False,False,1607968132565
122.645,100,1080701900,False,False,False,False,False,1607968124144
122.67,100,1080054088,True,False,False,False,False,1607968114658
122.68,100,1079676327,False,False,False,False,False,1607968107863
122.68,11,1077731565,True,True,False,False,False,1607968070481
122.68,65,1077687189,True,True,False,False,False,1607968069946
122.685,1,1076867589,False,True,False,False,False,1607968054406
122.68,21,1076867404,False,True,False,False,False,1607968054402
122.705,6,1076091428,False,True,False,False,False,1607968039038
122.715,21,1075493749,False,True,False,False,False,1607968029070
122.7,1,1075055049,False,True,False,False,False,1607968019698
122.695,500,1075039706,False,False,False,False,False,1607968019310
122.695,100,1074328219,False,False,False,False,False,1607968004577
