,price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp,date
0,121.23,26,896866826,True,True,False,False,False,1607706121983,2020-12-11 17:02:01.983
1,121.23,200,896866728,True,False,False,False,False,1607706121982,2020-12-11 17:02:01.982
2,121.23,300,896784770,True,False,False,False,True,1607706121952,2020-12-11 17:02:01.952
3,121.22,100,896769351,False,False,False,False,False,1607706121948,2020-12-11 17:02:01.948
4,121.13,50,895493314,False,True,False,False,False,1607706103844,2020-12-11 17:01:43.844
5,121.13,50,895481747,False,True,False,False,False,1607706103632,2020-12-11 17:01:43.632
6,121.11,268,895285819,False,False,False,False,False,1607706100791,2020-12-11 17:01:40.791
7,121.11,1,895157599,False,True,False,False,False,1607706098990,2020-12-11 17:01:38.990
8,121.11,2,895157195,False,True,False,False,False,1607706098984,2020-12-11 17:01:38.984
9,121.11,1,895156355,False,True,False,False,False,1607706098971,2020-12-11 17:01:38.971
10,121.14,100,894597692,True,False,False,False,False,1607706092399,2020-12-11 17:01:32.399
11,121.14,300,893981687,False,False,False,False,False,1607706084658,2020-12-11 17:01:24.658
12,121.13,100,893969281,False,False,False,False,False,1607706084553,2020-12-11 17:01:24.553
13,121.13,25,893848405,True,True,False,False,False,1607706083260,2020-12-11 17:01:23.260
14,121.13,300,893848377,True,False,False,False,False,1607706083260,2020-12-11 17:01:23.260
15,121.14,300,893813095,False,False,False,False,False,1607706082684,2020-12-11 17:01:22.684
16,121.115,1,893572931,False,True,False,False,False,1607706079549,2020-12-11 17:01:19.549
17,121.085,2,893367930,False,True,False,False,False,1607706077279,2020-12-11 17:01:17.279
18,121.08,3,893058269,False,True,False,False,False,1607706073495,2020-12-11 17:01:13.495
19,121.02,300,892444896,False,False,False,False,False,1607706065921,2020-12-11 17:01:05.921
