price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp
122.86,200,463550854,True,False,False,False,False,1607960010435
122.86,100,463550829,False,False,False,False,False,1607960010435
122.865,50,462203447,False,True,False,False,False,1607959995927
122.865,100,461666453,False,False,False,False,False,1607959991070
122.89,92,461441848,True,True,False,False,False,1607959988992
122.91,100,460586426,True,False,False,False,False,1607959983261
122.89,1,458724966,False,True,False,False,False,1607959969646
122.89,5,458460267,False,True,False,False,False,1607959966731
122.9,100,457941149,True,False,False,False,False,1607959960069
122.875,80,455744582,False,True,False,False,False,1607959934715
122.88,100,455632259,True,False,False,False,False,1607959933614
122.92,3,455130306,False,True,False,False,False,1607959928272
122.92,1,455085012,False,True,False,False,False,1607959927707
122.925,100,454984682,False,False,False,False,False,1607959926641
122.93,91,454895377,False,True,False,False,False,1607959925997
122.92,1,454875188,False,True,False,False,False,1607959925766
122.92,100,454364159,True,False,False,False,False,1607959920870
122.9,100,453258032,True,False,False,False,False,1607959910624
122.88,50,452418513,False,True,False,False,False,1607959901743
122.88,100,452414191,False,False,False,False,False,1607959901672
