price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp
122.92,25,688250329,False,True,False,False,False,1607962400408
122.94,200,688168903,False,False,False,False,False,1607962399270
122.94,100,687847193,False,False,False,False,False,1607962395466
122.94,200,687847187,False,False,False,False,False,1607962395466
122.89,100,687084664,False,False,False,False,False,1607962388525
122.91,100,687068299,True,False,False,False,False,1607962388229
122.91,100,687068286,True,False,False,False,False,1607962388229
122.91,200,687065901,True,False,False,False,True,1607962388221
122.9,100,687065874,True,False,False,False,False,1607962388221
122.89,140,687029178,False,False,False,False,False,1607962387693
122.89,20,687027819,False,True,False,False,False,1607962387681
122.91,91,686935752,False,True,False,False,False,1607962386512
122.88,9,686831474,True,True,False,False,False,1607962385388
122.87,300,685469088,False,False,False,False,False,1607962367758
122.855,21,685319134,False,True,False,False,False,1607962365538
122.865,50,685158017,False,True,False,False,False,1607962363145
122.88,29,684598944,False,True,False,False,False,1607962355709
122.89,1,684483010,False,True,False,False,False,1607962354730
122.865,100,684140328,False,False,False,False,False,1607962352170
122.84,100,682352327,False,False,False,False,False,1607962334151
