price,size,tradeId,isISO,isOddLot,isOutsideRegularHours,isSinglePriceCross,isTradeThroughExempt,timestamp
122.825,100,992088195,False,False,False,False,False,1607966642123
122.825,100,992086997,False,False,False,False,False,1607966642099
122.84,100,992023979,True,False,False,False,False,1607966640925
122.825,7,990450012,False,True,False,False,False,1607966607996
122.84,5,989941332,False,True,False,False,False,1607966600177
122.835,100,989872627,False,False,False,False,False,1607966598675
122.845,100,989129400,False,False,False,False,False,1607966584046
122.85,100,989108974,True,False,False,False,False,1607966583859
122.865,100,989028860,False,False,False,False,False,1607966583049
122.89,100,987205878,False,False,False,False,False,1607966549400
122.86,100,986868691,False,False,False,False,False,1607966543981
122.855,5,986642584,False,True,False,False,False,1607966538752
122.855,100,985208690,False,False,False,False,False,1607966517348
122.86,300,984678045,True,False,False,False,False,1607966509990
122.855,100,984669292,False,False,False,False,False,1607966509744
122.865,100,984254472,False,False,False,False,False,1607966503309
122.865,5,984254463,False,True,False,False,False,1607966503309
122.875,1,983250859,False,True,False,False,False,1607966481502
122.865,1,983170177,False,True,False,False,False,1607966480393
122.88,7,982384946,False,True,False,False,False,1607966465189
