,price,size,timestamp,date
0,121.23,100,1607706121982,2020-12-11 17:02:01.982
1,120.38,800,1607698121646,2020-12-11 14:48:41.646
2,120.0,400,1607700761313,2020-12-11 15:32:41.313
3,119.8,100,1607698127672,2020-12-11 14:48:47.672
4,119.0,200,1607697008608,2020-12-11 14:30:08.608
5,118.31,100,1607697629369,2020-12-11 14:40:29.369
6,117.0,100,1607697008442,2020-12-11 14:30:08.442
7,115.0,200,1607697016229,2020-12-11 14:30:16.229
8,114.39,80000,1607700761302,2020-12-11 15:32:41.302
9,110.5,100,1607697008372,2020-12-11 14:30:08.372
10,110.0,100,1607700666654,2020-12-11 15:31:06.654
11,109.0,100,1607697016237,2020-12-11 14:30:16.237
12,108.0,100,1607697008398,2020-12-11 14:30:08.398
13,107.0,100,1607697016217,2020-12-11 14:30:16.217
14,106.0,100,1607697008333,2020-12-11 14:30:08.333
15,105.0,100,1607697016210,2020-12-11 14:30:16.210
16,101.0,100,1607697059589,2020-12-11 14:30:59.589
17,100.79,495,1607700761283,2020-12-11 15:32:41.283
18,100.0,100,1607697059532,2020-12-11 14:30:59.532
19,97.0,100,1607697059560,2020-12-11 14:30:59.560
20,87.0,1000,1607700761276,2020-12-11 15:32:41.276
21,85.46,100,1607697000955,2020-12-11 14:30:00.955
22,78.0,100,1607697008451,2020-12-11 14:30:08.451
23,75.31,200,1607697000955,2020-12-11 14:30:00.955
24,52.99,600,1607697000955,2020-12-11 14:30:00.955
25,51.06,100,1607697008401,2020-12-11 14:30:08.401
